;Unnamed: 0;name;price;price_no_vat;availability;"Display size [""]";Display resolution;Panel type;Display type;Aspect Ratio;Display refresh rate [Hz];Luminosity [Nits];Colour coverage and certification;Processor type;AMD processor generation;Processor model number;Number of processor cores;Processor frequency [GHz];Core boost frequency [GHz];TDP [W];Cache processor [MB];CPU features;Size of operational RAM [GB];Memory type;Memory frequency [MHz];Number of installed slots;Total number of slots;Graphics card type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];Drive interfaces;SSD capacity [GB];Number of occupied slots M.2;Slots in total M.2;Equipment;Webcam;USB-C charging;Charging connector;Battery capacity [Wh];Charging power [W];Maximum battery capacity [h];Construction material;Convertibility;Colour;Weight [kg];Data;Graphical output ports;Network;Audio;USB-C;USB 3.2 Gen 1 (USB 3.0);Bluetooth;WiFi;WiFi version;Optical drive;Width [mm];Maximum height [mm];Depth [mm];Keyboard language;Laptop Series;Certification;Extended warranty;Package includes;Country;Special event;Intel processor generation;Graphics card memory [GB];Maximum Graphic Power (TGP) [W];Boost clock [MHz];"Number of occupied slots 2.5""";"Slots in total 2.5""";Number of cells;Thunderbolt / USB 4;USB 3.2 Gen 2;Standby time [h];Lease;Processor model;USB 2.0;Number of free slots;Number of stream processors;GPU Passmark;HDD capacity [GB];Other interfaces;USB 3.2 Gen 2x2;Intel Optane [GB]
0;0;Lenovo ThinkBook 15 G4 ABA metal;16490.0;13628.0;In stock > 5 pcs;15.6;1920 × 1080 px;IPS;Anti-Glare;16:9;60.0;300.0;45% NTSC;AMD Ryzen 5;Zen 3 (5th generation);AMD Ryzen 5 5625U;6.0;2.3;4.3;15.0;16.0;Automatic Overclocking, Low energy consumption, Virtualization SupportThe ability of the processor hardware to support full virtualization.;8.0;DDR4;3200.0;0.0;1.0;Integrated;AMD Radeon;Graphics;Windows 11 Home;SSD;512.0;PCIe NVMe;512.0;1.0;2.0;Backlit keyboard, Fingerprint ReaderAllows you to access your data using your fingerprint. , Memory Card Reader, Operating system, TPM 2.0The Trusted Platform Module 2.0 (TPM 2.0) is a hardware security component that allows a computer to perform hardware-level encryption. This is useful for protecting sensitive data and for performing functions such as BitLocker disk encryption on Windows systems., Windows HelloWindows Hello is a feature in Windows that allows users to log in using biometrics, such as a fingerprint or facial recognition, instead of entering a password. This adds another level of security and convenience for users.;1,080 p;Can be charged via USB-C;USB-C;45.0;65.0;8.0;Metal + plastic;Rigid (classic laptop);Grey;1.7;USB-C;HDMI, USB-C;RJ-45 (LAN);Combo Audio Jack;2.0;2.0;Bluetooth v5.1;WiFi 802.11ax;WiFi 6;Without Optical Drive;357.0;18.9;235.0;CZ, SK;Lenovo ThinkBook;TÜV Low Blue Light, Windows 11 compatibleThe Windows 11 compatible tag means that the laptop meets the minimum system requirements to run Microsoft's new operating system, Windows 11. This includes support for TPM 2.0, a compatible processor, enough RAM and storage space, and more., MIL-STD-810H;Extended Warranty;Power adapter, Power cable;Czechia, Slovakia, Hungary, Germany, Russia, Austria, Croatia, France, Poland, Romania, Slovenia;Digitální žák SK;;;;;;;;;;;;;;;;;;;;
1;1;Lenovo Legion Pro 5 16IRX8 Onyx Grey kovový (záruka na 3 roky po registraci);43989.0;36355.0;In stock > 5 pcs;16.0;2560 × 1600 px;IPS;Anti-Glare;16:10;240.0;500.0;100% DCI-P3, DisplayHDR;Intel Core i9;;Intel Core i9 13900HX Raptor Lake;24.0;2.2;5.4;55.0;36.0;Automatic Overclocking, HyperThreadingIt is the function providing multi-threaded parallel processing instructions - from one physical processor are created two virtual processors. In practice this means that it significantly reduces the system response and at the same time accelerates the operations, which you require from the processor.  , Virtualization SupportThe ability of the processor hardware to support full virtualization.;32.0;DDR5;5600.0;2.0;2.0;Gaming;NVIDIA GeForce;RTX 4060;Windows 11 Home;SSD;1000.0;PCIe NVMe;1000.0;1.0;2.0;Numeric keyboard, Operating system, MUX Switch, TPM 2.0The Trusted Platform Module 2.0 (TPM 2.0) is a hardware security component that allows a computer to perform hardware-level encryption. This is useful for protecting sensitive data and for performing functions such as BitLocker disk encryption on Windows systems., Nvidia G-SYNCNvidia G-Sync is a technology that synchronises the refresh rate of the monitor with the fps (frames per second) output of the graphics card. This helps minimize image tearing and improve the smoothness of gaming. G-Sync requires a monitor and graphics card compatible with G-Sync technology., RGB backlit keyboard;1,080 p;Can be charged via USB-C;Lenovo Slim Tip;80.0;300.0;6.5;Metal + plastic;Rigid (classic laptop);Black;2.55;USB-C;HDMI, USB-C;RJ-45 (LAN);Combo Audio Jack;2.0;4.0;Bluetooth v5.1;802.11ax (6GHz);WiFi 6E;Without Optical Drive;363.4;26.75;260.35;CZ, SK;Lenovo Legion;TÜV Low Blue Light, Windows 11 compatibleThe Windows 11 compatible tag means that the laptop meets the minimum system requirements to run Microsoft's new operating system, Windows 11. This includes support for TPM 2.0, a compatible processor, enough RAM and storage space, and more.;No extended warranty;Power adapter, Power cable;Czechia, Slovakia, Hungary, Germany, Russia, Austria, Croatia, France, Poland, Romania, Slovenia;Digitální žák SK;Raptor Lake (Gen 13);8.0;140.0;2370.0;0.0;0.0;;;;;;;;;;;;;;
2;2;Microsoft Surface Pro 9 2022 512GB 16GB Platinum;42490.0;35116.0;In stock;13.0;2880 × 1920 px;IPS;Glossy;3:2;;;;Intel Core i7;;Intel Core i7 1255U Alder Lake;10.0;;4.7;55.0;12.0;;16.0;LPDDR5;;;;Integrated;Intel;Iris Xe Graphics;Windows 11 Home;SSD;512.0;;512.0;;;Touch display, Operating system, Optic drive;720 px;Can be charged via USB-C;MS Surface 6-pin;47.7;;;;Detachable;Silver;0.9;;;;;2.0;;;WiFi 802.11ax;WiFi 6;Without Optical Drive;287.0;9.3;208.0;;;Intel EVO;;;Czechia, Slovakia, Hungary, Germany, Russia, Austria, Croatia, France, Poland, Romania, Slovenia;;Alder Lake (12th gen);;;;;;4.0;;;;;;;;;;;;;
3;3;MSI Stealth 16 AMG A13VG-273CZ;61990.0;51231.0;In stock > 5 pcs;16.0;3840 × 2400 px;OLED;Glossy;16:10;60.0;;100% DCI-P3;Intel Core i9;;Intel Core i9 13900H Raptor Lake;14.0;2.6;5.4;45.0;24.0;Automatic Overclocking, HyperThreadingIt is the function providing multi-threaded parallel processing instructions - from one physical processor are created two virtual processors. In practice this means that it significantly reduces the system response and at the same time accelerates the operations, which you require from the processor.  , Virtualization SupportThe ability of the processor hardware to support full virtualization.;32.0;DDR5;5200.0;2.0;2.0;Dedicated;NVIDIA GeForce;RTX 4070;Windows 11 Home;SSD;2000.0;PCIe NVMe;2000.0;1.0;2.0;Numeric keyboard, Fingerprint Reader, Memory Card Reader, Operating system, TPM 2.0The Trusted Platform Module 2.0 (TPM 2.0) is a hardware security component that allows a computer to perform hardware-level encryption. This is useful for protecting sensitive data and for performing functions such as BitLocker disk encryption on Windows systems., RGB backlit keyboard;1,080 px;Can be charged via USB-C;;99.9;240.0;4.0;All-metal (unibody);Rigid (classic laptop);Black;1.88;USB-C, Thunderbolt 4;HDMI, USB-C;RJ-45 (LAN);Combo Audio Jack;1.0;;Bluetooth v5.2;802.11ax (6GHz);WiFi 6E;Without Optical Drive;355.8;19.95;259.7;CZ;MSI Stealth;NVIDIA RTX Studio;No extended warranty;Power adapter;;;Raptor Lake (Gen 13);8.0;105.0;1980.0;;;4.0;1.0;1.0;;;;;;;;;;;
4;4;"Macbook Air 13"" M1  Space Grey CZ 2020";23490.0;19413.0;In stock > 5 pcs;13.3;2560 × 1600 px;IPS;Lesklý;16:10;;;;Apple Silicon;;Apple M1;8.0;;;;4.0;Automatické přetaktování, HyperThreadingJedná se o funkci zajišťující vícevláknové paralelní zpracování instrukcí – z jednoho fyzického procesoru se vytvoří dva procesory virtuální. V praxi to znamená, že se výrazně snižuje odezva systému a zároveň se urychlují operace, které po procesoru požadujete.  , Model se sníženou spotřebou, Podpora VirtualizaceSchopnost procesoru hardwarově podpořit plnou virtualizaci což znamená, že na jednom procesoru může běžet více programů zdánlivě současně.;8.0;;;;;Integrovaná;Apple;M1 7jádrová GPU;macOS;SSD;256.0;NVME;256.0;;;Podsvícená klávesnice, Čtečka otisků prstůK zabezpečeným datům se dostanete jen po načtení otisku prstu oprávněného uživatele., Operační systém;720 p;Lze nabíjet přes USB-C;;50.0;;;Celokovový (unibody);Pevný (klasický notebook);Šedá;125.0;;;;;2.0;;Bluetooth v5.0;802.11ac, 802.11n, 802.11g, 802.11b, 802.11a, 802.11ax;WiFi 6;Bez mechaniky;304.0;161.0;212.0;CZ;Apple MacBook Air;;;;;;;;;;;;;;;18.0;Ano;M1;;;;;;;;
5;5;Acer Aspire 3 Pure Silver;7990.0;6603.0;In stock;15.6;1920 × 1080 px;TN;Anti-Glare;16:9;60.0;;45% NTSC;AMD Ryzen 3;Zen 2 (4th generation);AMD Ryzen 3 7320U;4.0;2.4;4.1;15.0;4.0;Automatic Overclocking, Virtualization SupportThe ability of the processor hardware to support full virtualization.  , Multi Threading;8.0;LPDDR5;;;;Integrated;AMD Radeon;Graphics;Windows 11 S;SSD;256.0;PCIe NVMe;;1.0;1.0;Operating system;720 px;Can be charged via USB-C;USB-C;40.0;45.0;;Plastic;Rigid (classic laptop);Silver;1.78;USB-C;HDMI, USB-C;;Combo Audio Jack;1.0;2.0;Bluetooth v5.2;WiFi 802.11ax;WiFi 6;Without Optical Drive;362.9;18.9;237.5;CZ, SK;Acer Aspire;Windows 11 compatible;No extended warranty;Power adapter, Power cable;Czechia, Slovakia, Hungary, Germany, Russia, Austria, Croatia, France, Poland, Romania, Slovenia;;;;;;;;3.0;;;;;;;;;;;;;
6;6;Lenovo V17 G3 IAP Iron Grey;19890.0;16438.0;In stock > 5 pcs;17.3;1920 × 1080 px;IPS;Anti-Glare;16:9;60.0;300.0;72% NTSC;Intel Core i7;;Intel Core i7 1255U Alder Lake;10.0;1.2;4.7;55.0;12.0;Automatic Overclocking, HyperThreadingIt is the function providing multi-threaded parallel processing instructions - from one physical processor are created two virtual processors. In practice this means that it significantly reduces the system response and at the same time accelerates the operations, which you require from the processor.  , Virtualization SupportThe ability of the processor hardware to support full virtualization.;8.0;DDR4;3200.0;;;Integrated;Intel;Iris Xe Graphics;Without Operating System;SSD;512.0;PCIe NVMe;512.0;1.0;1.0;Numeric keyboard, Fingerprint Reader, Memory Card Reader, TPM 2.0The Trusted Platform Module 2.0 (TPM 2.0) is a hardware security component that allows a computer to perform hardware-level encryption. This is useful for protecting sensitive data and for performing functions such as BitLocker disk encryption on Windows systems.;720 px;Can be charged via USB-C;Lenovo Wall Adapter;45.0;65.0;8.1;;Rigid (classic laptop);Grey;2.2;USB-C;HDMI, USB-C;;Combo Audio Jack;1.0;1.0;Bluetooth v5.1;WiFi 802.11ax;WiFi 6;Without Optical Drive;399.0;19.9;274.0;CZ, SK;Lenovo V series;TÜV Low Blue Light, MIL-STD-810H;No extended warranty;Power adapter;Czechia, Slovakia, Hungary, Germany, Russia, Austria, Croatia, France, Poland, Romania, Slovenia;;Alder Lake (12th gen);;;;0.0;0.0;;;;;;;1.0;;;;;;;
7;7;Lenovo V15 G4 AMN Business Black;13489.0;11148.0;In stock > 5 pcs;15.6;1920 × 1080 px;TN;Anti-Glare;16:9;60.0;250.0;45% NTSC;AMD Ryzen 5;;AMD Ryzen 5 7520U;4.0;2.8;4.3;15.0;4.0;Automatic Overclocking, Virtualization SupportThe ability of the processor hardware to support full virtualization.;8.0;LPDDR5;4800.0;;;Integrated;AMD Radeon;610;Windows 11 Home;SSD;512.0;PCIe NVMe;512.0;1.0;1.0;Operating system, TPM 2.0;720 px;Can be charged via USB-C;Lenovo Wall Adapter;38.0;65.0;14.4;Plastic;Rigid (classic laptop);Black;1.65;USB-C;HDMI, USB-C;RJ-45 (LAN);Combo Audio Jack;1.0;2.0;Bluetooth v5.1;WiFi 802.11ac;WiFi 5;Without Optical Drive;359.2;19.9;235.8;CZ, SK;Lenovo V series;TÜV Low Blue Light, MIL-STD-810H;No extended warranty;Power adapter;Czechia, Slovakia, Hungary, Germany, Russia, Austria, Croatia, France, Poland, Romania, Slovenia;;;;;;0.0;0.0;;;;;;;;;;;;;;
8;8;Lenovo V15 G4 AMN Business Black;13989.0;11561.0;In stock > 5 pcs;15.6;1920 × 1080 px;TN;Anti-Glare;16:9;60.0;250.0;45% NTSC;AMD Ryzen 3;Zen 2 (4th generation);AMD Ryzen 3 7320U;4.0;2.4;4.1;15.0;4.0;Automatic Overclocking, Virtualization SupportThe ability of the processor hardware to support full virtualization.  , Multi Threading;8.0;LPDDR5;4800.0;;0.0;Integrated;AMD Radeon;610M Graphics;Windows 11 Pro;SSD;256.0;PCIe NVMe;256.0;1.0;1.0;Operating system, TPM 2.0;720 p;Can be charged via USB-C;Lenovo Wall Adapter;38.0;65.0;14.4;Plastic;Rigid (classic laptop);Black;1.65;USB-C;HDMI, USB-C;RJ-45 (LAN);Combo Audio Jack;1.0;2.0;Bluetooth v5.1;WiFi 802.11ac;WiFi 5;Without Optical Drive;359.2;19.9;235.8;CZ, SK;Lenovo V series;TÜV Low Blue Light, Windows 11 compatibleThe Windows 11 compatible tag means that the laptop meets the minimum system requirements to run Microsoft's new operating system, Windows 11. This includes support for TPM 2.0, a compatible processor, enough RAM and storage space, and more., MIL-STD-810H;No extended warranty;Power adapter, Power cable;Czechia, Slovakia, Hungary, Germany, Russia, Austria, Croatia, France, Poland, Romania, Slovenia;;;;;;0.0;0.0;;;;;;;;;;;;;;
9;9;Acer Nitro V15 Shale Black;18990.0;15694.0;In stock;15.6;1920 × 1080 px;IPS;Anti-Glare;16:9;144.0;250.0;100% sRGB;Intel Core i5;;Intel Core i5 13420H Raptor Lake;8.0;3.4;4.6;45.0;12.0;Automatic Overclocking, HyperThreadingIt is the function providing multi-threaded parallel processing instructions - from one physical processor are created two virtual processors. In practice this means that it significantly reduces the system response and at the same time accelerates the operations, which you require from the processor.  , Virtualization SupportThe ability of the processor hardware to support full virtualization.;16.0;DDR5;;2.0;2.0;Dedicated;NVIDIA GeForce;RTX 2050;Windows 11 Home;SSD;1000.0;PCIe NVMe;1000.0;1.0;2.0;Backlit keyboard, Operating system;720 px;No charging via USB-C;;57.0;135.0;5.0;Plastic;Rigid (classic laptop);Black;2.11;USB-C, Thunderbolt 4;HDMI, USB-C;RJ-45 (LAN);Headphone input, Microphone input;;3.0;Bluetooth v5.1;WiFi 802.11ax;WiFi 6;Without Optical Drive;362.3;23.5;239.89;CZ, SK;Acer Nitro;NVIDIA RTX Studio;No extended warranty;Power adapter;Czechia, Slovakia, Hungary, Germany, Russia, Austria, Croatia, France, Poland, Romania, Slovenia;;Raptor Lake (Gen 13);4.0;;;;;4.0;1.0;;;;;;;;;;;;
